id,"('stabilityai', 'stabilityai/stablelm-2-1_6b')","('stabilityai', 'stabilityai/stablelm-3b-4e1t')","('stabilityai', 'stabilityai/stablelm-base-alpha-3b')","('beespoke', 'BEE-spoke-data/smol_llama-101M-GQA')","('beespoke', 'BEE-spoke-data/smol_llama-81M-tied')","('beespoke', 'BEE-spoke-data/verysmol_llama-v11-KIx2')","('cyberagent', 'cyberagent/open-calm-large')","('statespaces', 'state-spaces/mamba-1.4b-hf')","('statespaces', 'state-spaces/mamba-130m-hf')","('statespaces', 'state-spaces/mamba-370m-hf')","('statespaces', 'state-spaces/mamba-790m-hf')","('jackfram', 'JackFram/llama-160m')","('h2oai', 'h2oai/h2o-danube-1.8b-base')","('bigcode', 'bigcode/gpt_bigcode-santacoder')","('turkunlp', 'TurkuNLP/gpt3-finnish-large')","('turkunlp', 'TurkuNLP/gpt3-finnish-small')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-1.3b')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-126m')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-356m')","('stabilityai', 'stabilityai/stablelm-base-alpha-7b')","('budecosystem', 'budecosystem/boomer-1b')","('dampish', 'Dampish/StellarX-4B-V0.2')","('sail', 'sail/Sailor-0.5B')","('bloom', 'bigscience/bloom-3b')","('scb10x', 'scb10x/typhoon-7b')","('falladrin', 'Felladrin/Minueza-32M-Base')","('itsliupeng', 'itsliupeng/openllama-7b-base')","('sail', 'sail/Sailor-1.8B')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-6.7b-v2')","('cerebras', 'cerebras/Cerebras-GPT-111M')","('vilm', 'vilm/Mixsmol-4x400M-v0.1-epoch2')","('starcoder', 'bigcode/starcoderbase-1b')","('sail', 'sail/Sailor-4B')","('gordicaleksa', 'gordicaleksa/YugoGPT')","('starcoder', 'bigcode/starcoderbase-3b')","('pythia', 'EleutherAI/pythia-1.4b-deduped')","('bloom', 'bigscience/bloom-7b1')","('cerebras', 'cerebras/Cerebras-GPT-2.7B')","('pythia', 'EleutherAI/pythia-160m')","('pythia', 'EleutherAI/pythia-1.4b-v0')","('pythia', 'EleutherAI/pythia-1b-deduped')","('sail', 'sail/Sailor-7B')","('nytk', 'NYTK/PULI-GPTrio')","('pythia', 'EleutherAI/pythia-410m')","('pythia', 'EleutherAI/pythia-410m-deduped')","('gpt-neo', 'EleutherAI/gpt-neo-125m')","('pythia', 'EleutherAI/pythia-2.8b-deduped')","('llm360', 'LLM360/Amber')","('pythia', 'EleutherAI/pythia-2.8b-v0')","('cerebras', 'cerebras/Cerebras-GPT-6.7B')","('starcoder', 'bigcode/starcoderbase-7b')","('Wanfq', 'Wanfq/FuseLLM-7B')","('gpt-neo', 'EleutherAI/gpt-neo-1.3B')","('tencentarc', 'TencentARC/LLaMA-Pro-8B')","('tencentarc', 'TencentARC/Mistral_Pro_8B_v0.1')","('falcon', 'tiiuae/falcon-rw-1b')","('qwen', 'Qwen/Qwen1.5-0.5B')","('qwen', 'Qwen/Qwen1.5-1.8B')","('phi', 'microsoft/phi-1_5')","('gpt-neo', 'EleutherAI/gpt-neo-2.7B')","('pythia', 'EleutherAI/pythia-6.9b-deduped')","('xglm', 'facebook/xglm-564M')","('pythia', 'EleutherAI/pythia-6.9b-v0')","('opt', 'facebook/opt-2.7b')","('amber', 'LLM360/Amber')","('qwen', 'Qwen/Qwen1.5-4B')","('falcon', 'tiiuae/falcon-7b')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T')","('xglm', 'facebook/xglm-4.5B')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-240k-503b')","('qwen', 'Qwen/Qwen1.5-7B')","('mistral', 'mistralai/Mistral-7B-v0.1')","('open-llama', 'openlm-research/open_llama_3b')","('open-llama', 'openlm-research/open_llama_3b_v2')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-480k-1T')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-step-50K-105b')","('xglm', 'facebook/xglm-7.5B')","('mpt', 'mosaicml/mpt-7b-8k')","('codellama', 'codellama/CodeLlama-7b-hf')","('llama', 'meta-llama/Llama-2-7b-hf')","('open-llama', 'openlm-research/open_llama_7b_v2')","('decilm', 'Deci/DeciLM-7B')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step100000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step120000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step140000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step20000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step40000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step60000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step80000')","('ahxt', 'ahxt/LiteLlama-460M-1T')"
 Defining Decay Down by David Plotz,0.6894926893503897,0.6671294101262626,0.8550468790728466,0.9474313433711736,0.9515353211898956,1.0011691132276372,1.1844504598206165,0.7293874149042333,0.8410597807889135,0.7818919295375677,0.7449042097177871,0.906704387970666,0.6967938740852299,1.1590678555765763,1.1607900900749737,1.4729345294706893,0.7906475539367618,0.945098173926346,0.8649044047776367,0.7884547896271878,0.9361628011943642,0.9837687479440412,0.7812053185308461,0.750883212656967,0.6400505077820238,1.0993839238656915,0.6695314655890743,0.7365649635063236,0.722071452627011,0.996964906331724,0.8608745803764145,0.9574355612711154,0.7028903226428542,0.6643415095406063,0.8821525848543678,0.7438418917267171,0.7183523756230225,0.7543074375062254,0.8901288891720833,0.745600929094322,0.7532604738275989,0.6669223924834061,0.7384835913070266,0.7945907909475686,0.8010423210883425,0.883017503059781,0.714941854385901,0.6865938010528274,0.7178074539888836,0.7202748021814246,0.8322929981665257,0.6407710652862715,0.756722863501171,0.6547655204689349,0.6629987709647376,0.7242038587331904,0.7392882908572208,0.6851059987477555,0.6568969814608248,0.7333138347181454,0.6927376777750842,0.8614938453418067,0.7002854641563845,0.7339205696851219,0.6865938010528274,0.6519014663374462,0.6643335155095177,0.7301989886023594,0.7549917221758652,0.9007628698790144,0.6398724118849926,0.6100134401565385,0.6948767840018354,0.6918712159025675,0.7771967608493429,0.8224217509678655,0.7406764379227495,0.6601916975619965,0.7285391969938584,0.6423378628836166,0.6744449876364333,0.6229235880040489,0.7027630162308902,0.6934050058799943,0.6931931119860586,0.7647859547015635,0.7334794430125515,0.7211125419642811,0.7091762895747097,0.8768285016826743
 Fight Clubbed by David Plotz,0.7296909656729598,0.7055477106165822,0.925993109170716,0.9970784271538854,0.9987090831847786,1.0634882021847747,1.260089891604575,0.7658855025217242,0.8881929954028078,0.8180627355398301,0.7883835673104057,0.9752931234999416,0.733076642218187,1.2399126435071468,1.199395840723519,1.5062289262766064,0.8244013931654788,0.9862888672596396,0.896074894886712,0.8500132074736098,0.97183989214879,1.027296483713397,0.8308806836048053,0.8078675647988892,0.6665017934106747,1.154689631872316,0.7029518035453352,0.7898214166124156,0.7568006970063935,1.0504932060326375,0.9202522621484625,1.0175080620498944,0.7432851222115148,0.6935618929775322,0.9332231832956348,0.7802770626620396,0.769394118767713,0.7948858677427618,0.9400151352781512,0.7862172511766226,0.7933540184470249,0.702544100557013,0.78021994739618,0.8356718522170659,0.8447142340551318,0.9316786604032992,0.7530276209662716,0.7233647346529493,0.7582350969768625,0.7548506027544893,0.8828999155676616,0.6692864121010617,0.8012605915453136,0.684718239500467,0.6885398844946143,0.7689970166973976,0.7873315294594562,0.7302724698336072,0.7447797532457756,0.7747215075534546,0.7277585507936526,0.916628673887337,0.7356590225707105,0.7651762031390806,0.7233647346529493,0.6800935153136297,0.6991740540555332,0.7685793334649741,0.8074615631522736,0.9634902514262744,0.6650148500542923,0.6378354055474553,0.72682515662979,0.7310522931244451,0.8228856907393273,0.8613944805914666,0.790610733676611,0.6899661863708993,0.761240618655381,0.6715604966640129,0.7113787007150569,0.6492470146878053,0.7377994710230401,0.7314694979067129,0.7302775817960498,0.8026304827513926,0.7713427540910208,0.7588776869203973,0.7455402031916103,0.9352525071871269
" I, Antichrist? by Jeffrey Goldberg",0.7183218770356105,0.694155327591029,0.8864228315640724,0.9703101114562354,0.9701889823002922,1.023145895644298,1.2489911538941048,0.7535734257597403,0.8693640681777189,0.8075196557907344,0.7745094890730719,0.954075059157583,0.7254228574341209,1.2272507311637255,1.164996422930051,1.4641375840714783,0.8097609412339656,0.96763819731805,0.8830391965326961,0.8191508047220197,0.9560540822919394,1.0118516592315037,0.8198568781760278,0.7953467317190603,0.6612014246541116,1.1316339853177149,0.7008542438379266,0.7742646804201381,0.7476397438408541,1.0302257620691004,0.8834699627675741,1.0022450901821045,0.7344015341053256,0.6847383084394588,0.9245100690753392,0.7654989502711925,0.7559180706867279,0.783547126110293,0.9207205195926076,0.7714213043583236,0.7792351468525909,0.6979093190363548,0.7642114091408028,0.8201886980166064,0.8262805949833635,0.9169993518504028,0.736885772879102,0.7148278552362739,0.7416365085418104,0.7431560057860416,0.8777987115151658,0.6629449949756125,0.7862328818199026,0.674624119617887,0.6738330931300881,0.751640041028196,0.7778737203614451,0.716123743344526,0.7557069995487967,0.7651097644262557,0.7165652161237874,0.8995011914128995,0.7226587939338948,0.7575180823141581,0.7148278552362739,0.675433744425583,0.6926257978186453,0.7531835787220401,0.7891903300795778,0.943262699358733,0.6575343587742879,0.628292464441114,0.714203835146936,0.7242782847609951,0.804199736375136,0.8447536646278705,0.777457149020673,0.6831736700114717,0.7479879200014438,0.6676735429117908,0.7031210343260624,0.6453073698035698,0.7263444995684921,0.7188831451026321,0.7172036249848392,0.7888392425153165,0.7569099982583752,0.7440339821658847,0.7344942260579533,0.9253288800704724
 It's Time To Keelhaul U-Haul! by Jeffrey Goldberg,0.7302861139932089,0.7089849662996146,0.914334413163588,1.0044324267032712,0.9942591352858126,1.058328644550717,1.2301392870566967,0.774486895720724,0.8906939655940926,0.8201989844476392,0.795635747717094,0.9655292789452152,0.7396639561160083,1.1798682634779378,1.1855480587627036,1.4854253803727218,0.8287490468051398,0.9904176728710238,0.903818569639686,0.8555402276309083,0.9884094234201382,1.0369266052980946,0.8248595715660567,0.7984945829258271,0.6774126868863954,1.1475447481921308,0.7154046755094579,0.7870421790539398,0.7647505067791983,1.0517185323792857,0.9281796828937032,0.9784642847256784,0.7515137115597944,0.706816473134307,0.9070401515748768,0.7869363445791785,0.7698751666650021,0.7980716143177348,0.9472359771226848,0.7905633706688603,0.7960240368684954,0.7162250736935938,0.7803650634023371,0.8425156823399598,0.8399140092044228,0.9486198606950904,0.7592986582685487,0.7311099931654629,0.762857596487366,0.7636438175608785,0.8628910621318117,0.6832771190469191,0.8023388471459867,0.6927041229463263,0.6972152932437056,0.7643030073110498,0.7835384664665711,0.7244081993500238,0.7222336548730348,0.7877445302786671,0.7373594587819872,0.9111364678812384,0.7460047948378915,0.7719639307081524,0.7311099931654629,0.6842031065775713,0.7095219726031411,0.774203728226704,0.8065981223278144,0.942720125395211,0.6698788154517484,0.650505936045146,0.7415407643274886,0.7381673865468129,0.8207145719833829,0.8657827127969902,0.792418194124372,0.703024998169143,0.7604570737342414,0.686233590986081,0.7197790439204628,0.6517075967835914,0.7443569806566542,0.7383682109456421,0.7377557538457601,0.8096746090422321,0.7749235350686869,0.7655248184158444,0.7537980075989085,0.9385421764443187
 My Father's Estate by Ben Stein,0.6835650136456907,0.663970883005455,0.8544662207695506,0.9317385385938248,0.9351477401260244,0.9806188348234882,1.1879566813049187,0.7203674927326095,0.8274758286245334,0.7636813287015455,0.7344311664128086,0.9085084392294598,0.6906066816107937,1.1703314188786589,1.154310165949983,1.456236291671406,0.7697587843988102,0.9227049926167824,0.8378786171404731,0.7884975301969167,0.9177331785876716,0.9635466687869744,0.7705019657506886,0.7555110367427312,0.6350083265098104,1.08213916862388,0.66757646979055,0.7314852270509409,0.7178899998426869,0.9803869674093024,0.8451335686010635,0.9456514370017508,0.6969426738022704,0.6577327507899697,0.867946907262604,0.7349097448566343,0.7223093654670795,0.7430616606386101,0.8817738360468332,0.7389623138916975,0.7476865730502795,0.6578468417091304,0.7311002069044935,0.7846196291872698,0.7890625950405536,0.8770180880887342,0.710240464631026,0.6857388183872688,0.7122475860033853,0.7085502266161853,0.819492583497769,0.632203445283716,0.7509129528385393,0.6409387352023541,0.6596141638508951,0.7198529269848551,0.7261706441530021,0.676516445670259,0.674935379343075,0.7292828031070724,0.6900312665318352,0.8551596137927989,0.6939800883661733,0.7230043585476861,0.6857388183872688,0.6354850211535683,0.6618257562744885,0.720674940621062,0.7577454285726949,0.8860325542256651,0.6212931065593624,0.6037232092358618,0.6837367715660103,0.6876667111161194,0.7694824153005696,0.8097981148514126,0.7467743987205845,0.6493090402595005,0.7087927393832767,0.6359780491700173,0.670804230036667,0.6191650962388908,0.6971094265682218,0.6907979398369455,0.6910395544638455,0.7540694027350336,0.726000589792489,0.7151724592774588,0.7070814201442214,0.8770914838336019
"""Phone Me in Central Park"" by McConnell, James V.",0.7316852375913078,0.7119781416886866,0.9005475901266643,0.9904145547597,0.9915475172999416,1.0335080449722975,1.2624829728509823,0.7646509571881513,0.8860581064163612,0.819348794712783,0.7865771615394176,0.976621808178218,0.7387460412852375,1.2063640766507349,1.2084885635057496,1.5017667733543894,0.8229962068705334,0.9847453636445298,0.8971403435766004,0.8383778945629123,0.97965914949931,0.9920593695383604,0.8249181949478563,0.790230168779763,0.672420905068748,1.1219692241972492,0.7155493139535168,0.7855272258366943,0.7623786277009098,1.0429341341011171,0.8984696731226162,0.9909424979681976,0.7430174400823102,0.6976876325220079,0.915549314627799,0.7814625049948528,0.7631390387043012,0.7917853478245191,0.944780438458584,0.7893917628897009,0.7953291153891399,0.7061999307781974,0.7811676288132927,0.8400201127654455,0.8421754700385319,0.9379866306585232,0.753420031136513,0.7306979184859974,0.76050597047197,0.7582422831511529,0.8643933592858698,0.6780810224572509,0.7994640066719114,0.686525581848428,0.6841561342191351,0.769713414210535,0.7709397935387912,0.7189254769831752,0.7178534380169502,0.776526251199895,0.7334885390756865,0.9171089161362328,0.7414967139250935,0.7723589838451999,0.7306979184859974,0.6747859653353757,0.70405957836741,0.7709991932476127,0.8088446504063361,0.9413369555966586,0.6599857637471103,0.6431569131081946,0.7277277917620917,0.7393178529848,0.8165927470437573,0.8619292998149939,0.7959241661152697,0.6930199119698081,0.7544287243558797,0.6811853697703121,0.7175703767567966,0.6540763686125179,0.7389557124944646,0.7349332955574748,0.7355645543456409,0.8031807204542668,0.7726205480735355,0.7593108058184719,0.7486559879899481,0.936064012290789
"A Coffin for Jacob by Ludwig, Edward W.",0.7483811843285609,0.7243079646508321,0.9340304707263494,1.0240523151191216,1.0355039193120577,1.0864973410699874,1.3237297628802691,0.7827601623474971,0.9104908102104828,0.8397350139831535,0.7983975976613937,1.0053607782612666,0.7512506124479622,1.259905292005158,1.266923124644122,1.5963100541779085,0.835455553171525,1.018313206094413,0.919999452020505,0.8582152955765591,1.014391663519295,1.0147297176365473,0.8520400965975482,0.8206969409775516,0.6856313741404921,1.201994562304876,0.7287994659002671,0.8072865221268294,0.774630404874392,1.0882999453408926,0.8949273538168561,1.042496228979224,0.7616720182994817,0.7134523070865402,0.9674122587785308,0.7940768905736646,0.7878030731965471,0.8053597723078034,0.975877806387398,0.8034086818349094,0.8074924079605348,0.7222912009245568,0.7956153123575792,0.8581688352154391,0.8616917995157557,0.9690516620747558,0.7692669570344423,0.7483245197930692,0.7777049360824776,0.7717986347352398,0.8967213506987205,0.6864536727876218,0.8158665415984636,0.6960509448610291,0.7030081918837564,0.7840777736541581,0.7923761623088412,0.7402790120323625,0.7393164982412678,0.7931524821800491,0.7507879371942024,0.9425578040793487,0.7554949240315552,0.7878029202627017,0.7483245197930692,0.6892117565688815,0.7216511494191921,0.7886264463561627,0.8242159648914908,0.9793792660397028,0.6743012366252394,0.6540740326763871,0.7474422598975287,0.7559837336880728,0.8338146654478648,0.881127346757151,0.8081045016781491,0.7092891589424187,0.7712145019570804,0.6891440805185829,0.7360252084688889,0.6663500249291341,0.7562587255357569,0.7524964590595257,0.7533034815507179,0.8236484302143736,0.7895510039963004,0.7758710672845851,0.7647860499480085,0.9628889869566858
"A Fall of Glass by Lee, Stanley R.",0.7624850785139424,0.7381216598842075,0.9322299035284104,1.0214671235053954,1.036275655128186,1.0804123052954238,1.2970106031428426,0.7965638061744399,0.9202440731711676,0.8483579241073863,0.814232763583298,1.013234624292234,0.7653492964675475,1.237152715266038,1.243341244064798,1.5605626851514345,0.8542090668595055,1.0198359722658283,0.930737934311786,0.8618470449752872,1.0164525058913425,1.036131084090853,0.8586255449349407,0.8275604725861939,0.7063100295602309,1.167541965263878,0.7451624260132439,0.8160836836321627,0.7951609022918369,1.0926901262498074,0.9218453359410048,1.0336551885198673,0.7739389123309683,0.7327026192559496,0.9581024755382872,0.8080062767002073,0.794819773419322,0.8200940696560459,0.9805124972489988,0.8130777647510457,0.8226676313961713,0.7379659685769557,0.8104786647719582,0.8706665926151752,0.8691159723293143,0.97336311973136,0.7794478441456789,0.7594064414130594,0.7929189168874453,0.7876466978622587,0.9011121315010596,0.7081937999703108,0.8277079149718107,0.7177497295991363,0.7220527127541393,0.7955061341277646,0.8022958216874378,0.7450710536445483,0.742867608402695,0.8101039075980702,0.7625791324395449,0.9539313953275956,0.7717693027231323,0.8038053788001673,0.7594064414130594,0.7074746386543971,0.7397601900532389,0.7989652701517007,0.8384390805443798,0.9794747382590748,0.6926704275280495,0.6726825511373804,0.7553510656444964,0.7672545628711047,0.8415724177598135,0.8884611394601667,0.8233663713026725,0.7312298920074415,0.7843089767659867,0.7100997150768098,0.7510295759511992,0.6885292580164566,0.7701741051280061,0.7640382413601002,0.7647036252286686,0.8363756888367424,0.8034100637636095,0.7893904013536299,0.7779396008213315,0.96955855962246
"A Filbert Is a Nut by Raphael, Rick",0.7584477306414783,0.7374159425121855,0.9284268866070666,1.033077322531626,1.03483375687103,1.0815166754842744,1.2886473817595534,0.7933918320119763,0.917492037534844,0.8522002484347485,0.8114787448291787,1.0055910004714308,0.7672116142105824,1.2346014536007552,1.2395059779988578,1.5449259662406771,0.8517766771159583,1.0176562917621967,0.9300004795670268,0.8619543409996757,1.0152100733729563,1.0435048601850851,0.8656808511723463,0.8227918852666554,0.7132939496880655,1.1875535369629655,0.740936741933257,0.8216469992450642,0.790186363816549,1.0831059926849724,0.956856843801038,1.0338009706995104,0.7783658758140857,0.7354203397362604,0.956008130086642,0.8097041970679876,0.7957480130152661,0.8178948536842247,0.9771949346501072,0.816553111456256,0.8227806491511214,0.7425670062476672,0.807955667829476,0.868368429799528,0.870636823923722,0.9678573907679026,0.7843306191609889,0.7563947932516688,0.7885085046109341,0.7868778264516725,0.9077157682238504,0.7079836127502872,0.8305583908378998,0.7183827087344294,0.7271283730010804,0.7938135170655506,0.8183752680180737,0.7606721918475409,0.7553014412206444,0.8044712950912123,0.7620898307616634,0.95240931422077,0.7654382785426624,0.8068726202261601,0.7563947932516688,0.7119516766955943,0.7354203290996477,0.8020629558010745,0.8318359347654672,0.983864012682146,0.6994883737610049,0.6797123811697203,0.7628578651932871,0.7672991789179217,0.851137728649852,0.8922595059824678,0.8165545367198217,0.7259710936700977,0.7860784828071319,0.7103588491039836,0.7426039986614549,0.6999776207082149,0.7699476186795116,0.761883834989455,0.763754494848608,0.8325715815187598,0.8005962699332277,0.7848799591401913,0.7757026788231955,0.9648919404377201
"A Gift from Earth by Banister, Manly",0.7754678197829878,0.7508547240203038,0.9441926543179052,1.0529643509716449,1.0532639539798097,1.0949530342132583,1.2918801557163462,0.8071303939670194,0.93326310387649,0.8636969777256824,0.8269288746216734,1.0394589243101122,0.7818829395635735,1.2388308492832063,1.253518080162118,1.5341671667084782,0.8629756654208333,1.0303496019362526,0.94232513026709,0.863796847224162,1.031920565296262,1.0554862238541023,0.8843922561193024,0.8288563117391083,0.7205900239222028,1.20915279567006,0.7520009816020482,0.8367603657803765,0.7990217849073266,1.106977701148776,0.9574261598612746,1.0315784704358122,0.7881270986168475,0.7423942918791655,0.961579161183856,0.8214584823929192,0.8083387808433257,0.8317463793375582,1.0030703819772429,0.8332112770134299,0.8400812266482071,0.7483953906377482,0.8218332050956835,0.8851375008287024,0.8882932690139346,0.9881490542880772,0.7947405951143491,0.7761367444108749,0.7997677657316321,0.797068358462966,0.9122186941472058,0.721529743007786,0.8423581759084211,0.7303546439000932,0.740949897502233,0.8111614182396522,0.8362305225213563,0.7776408211228685,0.7608160474133694,0.8170144721474553,0.7734243818107065,0.9676345816196802,0.7772007782822447,0.8160531932854689,0.7761367444108749,0.7324024528340176,0.7462085071319529,0.8171932451734795,0.8472250534682807,1.0149587833937792,0.7087350478865365,0.6896040299147573,0.7720756110162471,0.7781264926950988,0.8656312012140568,0.9179836491579444,0.8326535592926639,0.7340190611971359,0.7933135859287882,0.725675650106565,0.757526093496295,0.7080557240734715,0.7794761238513499,0.7743762210543655,0.774116490505749,0.8499023295230853,0.8155422802524849,0.79801643962815,0.7897974763714251,0.9903146847827019
